Union,date,week
37.83,2005-12-03,0548
37.87,2005-12-04,0548
37.91,2005-12-05,0549
37.95,2005-12-06,0549
37.99,2005-12-07,0549
38.02,2005-12-08,0549
38.06,2005-12-09,0549
38.1,2005-12-10,0549
38.14,2005-12-11,0549
38.18,2005-12-12,0550
38.22,2005-12-13,0550
38.26,2005-12-14,0550
38.3,2005-12-15,0550
38.34,2005-12-16,0550
38.37,2005-12-17,0550
38.41,2005-12-18,0550
38.45,2005-12-19,0551
38.49,2005-12-20,0551
38.53,2005-12-21,0551
38.57,2005-12-22,0551
38.61,2005-12-23,0551
38.65,2005-12-24,0551
38.68,2005-12-25,0551
38.72,2005-12-26,0552
38.76,2005-12-27,0552
38.8,2005-12-28,0552
38.84,2005-12-29,0552
38.88,2005-12-30,0552
38.92,2005-12-31,0552
38.96,2006-01-01,0652
39,2006-01-02,0601
39.03,2006-01-03,0601
39.07,2006-01-04,0601
39.11,2006-01-05,0601
39.15,2006-01-06,0601
39.19,2006-01-07,0601
39.23,2006-01-08,0601
39.27,2006-01-09,0602
39.31,2006-01-10,0602
39.35,2006-01-11,0602
39.38,2006-01-12,0602
39.44,2006-01-13,0602
39.49,2006-01-14,0602
39.54,2006-01-15,0602
39.59,2006-01-16,0603
39.64,2006-01-17,0603
39.69,2006-01-18,0603
39.74,2006-01-19,0603
39.79,2006-01-20,0603
39.84,2006-01-21,0603
39.89,2006-01-22,0603
39.94,2006-01-23,0604
39.99,2006-01-24,0604
40.04,2006-01-25,0604
40.09,2006-01-26,0604
40.12,2006-01-27,0604
40.14,2006-01-28,0604
40.16,2006-01-29,0604
40.18,2006-01-30,0605
40.21,2006-01-31,0605
40.23,2006-02-01,0605
40.25,2006-02-02,0605
40.28,2006-02-03,0605
40.3,2006-02-04,0605
40.32,2006-02-05,0605
40.35,2006-02-06,0606
40.37,2006-02-07,0606
40.39,2006-02-08,0606
40.41,2006-02-09,0606
40.44,2006-02-10,0606
40.46,2006-02-11,0606
40.48,2006-02-12,0606
40.51,2006-02-13,0607
40.53,2006-02-14,0607
40.55,2006-02-15,0607
40.58,2006-02-16,0607
40.59,2006-02-17,0607
40.6,2006-02-18,0607
40.61,2006-02-19,0607
40.62,2006-02-20,0608
40.63,2006-02-21,0608
40.64,2006-02-22,0608
40.65,2006-02-23,0608
40.66,2006-02-24,0608
40.67,2006-02-25,0608
40.68,2006-02-26,0608
40.69,2006-02-27,0609
40.7,2006-02-28,0609
40.71,2006-03-01,0609
40.72,2006-03-02,0609
40.73,2006-03-03,0609
40.74,2006-03-04,0609
40.75,2006-03-05,0609
40.76,2006-03-06,0610
40.77,2006-03-07,0610
40.78,2006-03-08,0610
40.79,2006-03-09,0610
40.8,2006-03-10,0610
40.8,2006-03-11,0610
40.8,2006-03-12,0610
40.81,2006-03-13,0611
40.81,2006-03-14,0611
40.82,2006-03-15,0611
40.82,2006-03-16,0611
40.82,2006-03-17,0611
40.83,2006-03-18,0611
40.83,2006-03-19,0611
40.84,2006-03-20,0612
40.84,2006-03-21,0612
40.84,2006-03-22,0612
40.85,2006-03-23,0612
40.85,2006-03-24,0612
40.86,2006-03-25,0612
40.86,2006-03-26,0612
40.86,2006-03-27,0613
40.87,2006-03-28,0613
40.87,2006-03-29,0613
40.88,2006-03-30,0613
40.88,2006-03-31,0613
40.88,2006-04-01,0613
40.89,2006-04-02,0613
40.89,2006-04-03,0614
40.89,2006-04-04,0614
40.9,2006-04-05,0614
40.9,2006-04-06,0614
40.9,2006-04-07,0614
40.91,2006-04-08,0614
40.91,2006-04-09,0614
40.91,2006-04-10,0615
40.91,2006-04-11,0615
40.91,2006-04-12,0615
40.91,2006-04-13,0615
40.91,2006-04-14,0615
40.91,2006-04-15,0615
40.91,2006-04-16,0615
40.91,2006-04-17,0616
40.92,2006-04-18,0616
40.92,2006-04-19,0616
40.92,2006-04-20,0616
40.92,2006-04-21,0616
40.92,2006-04-22,0616
40.92,2006-04-23,0616
40.92,2006-04-24,0617
40.92,2006-04-25,0617
40.92,2006-04-26,0617
40.93,2006-04-27,0617
40.9,2006-04-28,0617
40.87,2006-04-29,0617
40.84,2006-04-30,0617
40.81,2006-05-01,0618
40.78,2006-05-02,0618
40.75,2006-05-03,0618
40.72,2006-05-04,0618
40.69,2006-05-05,0618
40.66,2006-05-06,0618
40.63,2006-05-07,0618
40.6,2006-05-08,0619
40.57,2006-05-09,0619
40.54,2006-05-10,0619
40.51,2006-05-11,0619
40.48,2006-05-12,0619
40.45,2006-05-13,0619
40.42,2006-05-14,0619
40.39,2006-05-15,0620
40.36,2006-05-16,0620
40.33,2006-05-17,0620
40.3,2006-05-18,0620
40.25,2006-05-19,0620
40.2,2006-05-20,0620
40.15,2006-05-21,0620
40.1,2006-05-22,0621
40.05,2006-05-23,0621
40,2006-05-24,0621
39.95,2006-05-25,0621
39.9,2006-05-26,0621
39.85,2006-05-27,0621
39.8,2006-05-28,0621
39.75,2006-05-29,0622
39.71,2006-05-30,0622
39.66,2006-05-31,0622
39.61,2006-06-01,0622
39.56,2006-06-02,0622
39.51,2006-06-03,0622
39.46,2006-06-04,0622
39.41,2006-06-05,0623
39.36,2006-06-06,0623
39.31,2006-06-07,0623
39.26,2006-06-08,0623
39.21,2006-06-09,0623
39.16,2006-06-10,0623
39.11,2006-06-11,0623
39.06,2006-06-12,0624
39.01,2006-06-13,0624
38.96,2006-06-14,0624
38.91,2006-06-15,0624
38.86,2006-06-16,0624
38.81,2006-06-17,0624
38.75,2006-06-18,0624
38.7,2006-06-19,0625
38.65,2006-06-20,0625
38.6,2006-06-21,0625
38.54,2006-06-22,0625
38.49,2006-06-23,0625
38.44,2006-06-24,0625
38.39,2006-06-25,0625
38.34,2006-06-26,0626
38.28,2006-06-27,0626
38.23,2006-06-28,0626
38.18,2006-06-29,0626
38.13,2006-06-30,0626
38.07,2006-07-01,0626
38.02,2006-07-02,0626
37.97,2006-07-03,0627
37.92,2006-07-04,0627
37.86,2006-07-05,0627
37.81,2006-07-06,0627
37.76,2006-07-07,0627
37.71,2006-07-08,0627
37.66,2006-07-09,0627
37.6,2006-07-10,0628
37.55,2006-07-11,0628
37.5,2006-07-12,0628
37.45,2006-07-13,0628
37.41,2006-07-14,0628
37.37,2006-07-15,0628
37.33,2006-07-16,0628
37.29,2006-07-17,0629
37.25,2006-07-18,0629
37.21,2006-07-19,0629
37.17,2006-07-20,0629
37.14,2006-07-21,0629
37.1,2006-07-22,0629
37.06,2006-07-23,0629
37.02,2006-07-24,0630
36.98,2006-07-25,0630
36.94,2006-07-26,0630
36.9,2006-07-27,0630
36.86,2006-07-28,0630
36.83,2006-07-29,0630
36.79,2006-07-30,0630
36.75,2006-07-31,0631
36.71,2006-08-01,0631
36.67,2006-08-02,0631
36.63,2006-08-03,0631
36.59,2006-08-04,0631
36.55,2006-08-05,0631
36.51,2006-08-06,0631
36.48,2006-08-07,0632
36.44,2006-08-08,0632
36.4,2006-08-09,0632
36.36,2006-08-10,0632
36.32,2006-08-11,0632
36.28,2006-08-12,0632
36.24,2006-08-13,0632
36.2,2006-08-14,0633
36.17,2006-08-15,0633
36.13,2006-08-16,0633
36.09,2006-08-17,0633
36.05,2006-08-18,0633
36.02,2006-08-19,0633
35.98,2006-08-20,0633
35.94,2006-08-21,0634
35.91,2006-08-22,0634
35.87,2006-08-23,0634
35.84,2006-08-24,0634
35.8,2006-08-25,0634
35.76,2006-08-26,0634
35.73,2006-08-27,0634
35.69,2006-08-28,0635
35.66,2006-08-29,0635
35.62,2006-08-30,0635
35.58,2006-08-31,0635
35.53,2006-09-01,0635
35.48,2006-09-02,0635
35.44,2006-09-03,0635
35.39,2006-09-04,0636
35.34,2006-09-05,0636
35.29,2006-09-06,0636
35.24,2006-09-07,0636
35.19,2006-09-08,0636
35.14,2006-09-09,0636
35.09,2006-09-10,0636
35.04,2006-09-11,0637
34.99,2006-09-12,0637
34.94,2006-09-13,0637
34.89,2006-09-14,0637
34.84,2006-09-15,0637
34.79,2006-09-16,0637
34.74,2006-09-17,0637
34.7,2006-09-18,0638
34.65,2006-09-19,0638
34.6,2006-09-20,0638
34.55,2006-09-21,0638
34.5,2006-09-22,0638
34.45,2006-09-23,0638
34.4,2006-09-24,0638
34.35,2006-09-25,0639
34.3,2006-09-26,0639
34.25,2006-09-27,0639
34.2,2006-09-28,0639
34.19,2006-09-29,0639
34.18,2006-09-30,0639
34.17,2006-10-01,0639
34.16,2006-10-02,0640
34.16,2006-10-03,0640
34.15,2006-10-04,0640
34.14,2006-10-05,0640
34.13,2006-10-06,0640
34.12,2006-10-07,0640
34.11,2006-10-08,0640
34.1,2006-10-09,0641
34.09,2006-10-10,0641
34.08,2006-10-11,0641
34.07,2006-10-12,0641
34.1,2006-10-13,0641
34.12,2006-10-14,0641
34.15,2006-10-15,0641
34.18,2006-10-16,0642
34.2,2006-10-17,0642
34.23,2006-10-18,0642
34.26,2006-10-19,0642
34.28,2006-10-20,0642
34.31,2006-10-21,0642
34.34,2006-10-22,0642
34.36,2006-10-23,0643
34.39,2006-10-24,0643
34.42,2006-10-25,0643
34.44,2006-10-26,0643
34.48,2006-10-27,0643
34.53,2006-10-28,0643
34.57,2006-10-29,0643
34.61,2006-10-30,0644
34.65,2006-10-31,0644
34.69,2006-11-01,0644
34.73,2006-11-02,0644
34.77,2006-11-03,0644
34.81,2006-11-04,0644
34.85,2006-11-05,0644
34.89,2006-11-06,0645
34.94,2006-11-07,0645
34.98,2006-11-08,0645
35.02,2006-11-09,0645
35.06,2006-11-10,0645
35.1,2006-11-11,0645
35.14,2006-11-12,0645
35.18,2006-11-13,0646
35.23,2006-11-14,0646
35.27,2006-11-15,0646
35.31,2006-11-16,0646
35.35,2006-11-17,0646
35.39,2006-11-18,0646
35.43,2006-11-19,0646
35.48,2006-11-20,0647
35.52,2006-11-21,0647
35.56,2006-11-22,0647
35.6,2006-11-23,0647
35.63,2006-11-24,0647
35.66,2006-11-25,0647
35.69,2006-11-26,0647
35.72,2006-11-27,0648
35.74,2006-11-28,0648
35.77,2006-11-29,0648
35.8,2006-11-30,0648
35.83,2006-12-01,0648
35.86,2006-12-02,0648
35.89,2006-12-03,0648
35.92,2006-12-04,0649
35.95,2006-12-05,0649
35.97,2006-12-06,0649
36,2006-12-07,0649
36.03,2006-12-08,0649
36.06,2006-12-09,0649
36.09,2006-12-10,0649
36.12,2006-12-11,0650
36.15,2006-12-12,0650
36.18,2006-12-13,0650
36.2,2006-12-14,0650
36.21,2006-12-15,0650
36.21,2006-12-16,0650
36.22,2006-12-17,0650
36.22,2006-12-18,0651
36.23,2006-12-19,0651
36.23,2006-12-20,0651
36.24,2006-12-21,0651
36.24,2006-12-22,0651
36.25,2006-12-23,0651
36.25,2006-12-24,0651
36.26,2006-12-25,0652
36.26,2006-12-26,0652
36.27,2006-12-27,0652
36.27,2006-12-28,0652
36.27,2006-12-29,0652
36.28,2006-12-30,0652
36.28,2006-12-31,0652
36.29,2007-01-01,0701
36.29,2007-01-02,0701
36.3,2007-01-03,0701
36.3,2007-01-04,0701
36.31,2007-01-05,0701
36.31,2007-01-06,0701
36.32,2007-01-07,0701
36.32,2007-01-08,0702
36.33,2007-01-09,0702
36.33,2007-01-10,0702
36.34,2007-01-11,0702
36.35,2007-01-12,0702
36.37,2007-01-13,0702
36.38,2007-01-14,0702
36.4,2007-01-15,0703
36.41,2007-01-16,0703
36.43,2007-01-17,0703
36.44,2007-01-18,0703
36.46,2007-01-19,0703
36.47,2007-01-20,0703
36.49,2007-01-21,0703
36.51,2007-01-22,0704
36.52,2007-01-23,0704
36.54,2007-01-24,0704
36.55,2007-01-25,0704
36.57,2007-01-26,0704
36.58,2007-01-27,0704
36.6,2007-01-28,0704
36.61,2007-01-29,0705
36.63,2007-01-30,0705
36.64,2007-01-31,0705
36.66,2007-02-01,0705
36.67,2007-02-02,0705
36.69,2007-02-03,0705
36.71,2007-02-04,0705
36.72,2007-02-05,0706
36.74,2007-02-06,0706
36.75,2007-02-07,0706
36.77,2007-02-08,0706
36.77,2007-02-09,0706
36.78,2007-02-10,0706
36.79,2007-02-11,0706
36.8,2007-02-12,0707
36.81,2007-02-13,0707
36.82,2007-02-14,0707
36.83,2007-02-15,0707
36.83,2007-02-16,0707
36.84,2007-02-17,0707
36.85,2007-02-18,0707
36.86,2007-02-19,0708
36.87,2007-02-20,0708
36.88,2007-02-21,0708
36.88,2007-02-22,0708
36.89,2007-02-23,0708
36.9,2007-02-24,0708
36.91,2007-02-25,0708
36.92,2007-02-26,0709
36.93,2007-02-27,0709
36.93,2007-02-28,0709
36.94,2007-03-01,0709
36.95,2007-03-02,0709
36.96,2007-03-03,0709
36.96,2007-03-04,0709
36.97,2007-03-05,0710
36.98,2007-03-06,0710
36.98,2007-03-07,0710
36.99,2007-03-08,0710
37,2007-03-09,0710
37,2007-03-10,0710
37.01,2007-03-11,0710
37.01,2007-03-12,0711
37.02,2007-03-13,0711
37.03,2007-03-14,0711
37.03,2007-03-15,0711
37.04,2007-03-16,0711
37.05,2007-03-17,0711
37.06,2007-03-18,0711
37.07,2007-03-19,0712
37.07,2007-03-20,0712
37.08,2007-03-21,0712
37.09,2007-03-22,0712
37.1,2007-03-23,0712
37.1,2007-03-24,0712
37.11,2007-03-25,0712
37.12,2007-03-26,0713
37.13,2007-03-27,0713
37.13,2007-03-28,0713
37.14,2007-03-29,0713
37.15,2007-03-30,0713
37.17,2007-03-31,0713
37.18,2007-04-01,0713
37.19,2007-04-02,0714
37.2,2007-04-03,0714
37.21,2007-04-04,0714
37.23,2007-04-05,0714
37.24,2007-04-06,0714
37.25,2007-04-07,0714
37.26,2007-04-08,0714
37.27,2007-04-09,0715
37.29,2007-04-10,0715
37.3,2007-04-11,0715
37.31,2007-04-12,0715
37.32,2007-04-13,0715
37.33,2007-04-14,0715
37.35,2007-04-15,0715
37.36,2007-04-16,0716
37.37,2007-04-17,0716
37.38,2007-04-18,0716
37.4,2007-04-19,0716
37.42,2007-04-20,0716
37.44,2007-04-21,0716
37.47,2007-04-22,0716
37.49,2007-04-23,0717
37.52,2007-04-24,0717
37.54,2007-04-25,0717
37.57,2007-04-26,0717
37.59,2007-04-27,0717
37.61,2007-04-28,0717
37.64,2007-04-29,0717
37.66,2007-04-30,0718
37.69,2007-05-01,0718
37.71,2007-05-02,0718
37.74,2007-05-03,0718
37.76,2007-05-04,0718
37.79,2007-05-05,0718
37.81,2007-05-06,0718
37.83,2007-05-07,0719
37.86,2007-05-08,0719
37.88,2007-05-09,0719
37.91,2007-05-10,0719
37.93,2007-05-11,0719
37.96,2007-05-12,0719
37.98,2007-05-13,0719
38,2007-05-14,0720
38.03,2007-05-15,0720
38.05,2007-05-16,0720
38.08,2007-05-17,0720
38.1,2007-05-18,0720
38.13,2007-05-19,0720
38.16,2007-05-20,0720
38.18,2007-05-21,0721
38.21,2007-05-22,0721
38.23,2007-05-23,0721
38.26,2007-05-24,0721
38.29,2007-05-25,0721
38.31,2007-05-26,0721
38.34,2007-05-27,0721
38.36,2007-05-28,0722
38.39,2007-05-29,0722
38.42,2007-05-30,0722
38.44,2007-05-31,0722
38.45,2007-06-01,0722
38.46,2007-06-02,0722
38.47,2007-06-03,0722
38.48,2007-06-04,0723
38.49,2007-06-05,0723
38.5,2007-06-06,0723
38.51,2007-06-07,0723
38.52,2007-06-08,0723
38.53,2007-06-09,0723
38.53,2007-06-10,0723
38.54,2007-06-11,0724
38.55,2007-06-12,0724
38.56,2007-06-13,0724
38.57,2007-06-14,0724
38.58,2007-06-15,0724
38.59,2007-06-16,0724
38.6,2007-06-17,0724
38.61,2007-06-18,0725
38.62,2007-06-19,0725
38.63,2007-06-20,0725
38.64,2007-06-21,0725
38.67,2007-06-22,0725
38.69,2007-06-23,0725
38.72,2007-06-24,0725
38.75,2007-06-25,0726
38.78,2007-06-26,0726
38.81,2007-06-27,0726
38.84,2007-06-28,0726
38.87,2007-06-29,0726
38.9,2007-06-30,0726
38.93,2007-07-01,0726
38.96,2007-07-02,0727
38.99,2007-07-03,0727
39.02,2007-07-04,0727
39.05,2007-07-05,0727
39.07,2007-07-06,0727
39.1,2007-07-07,0727
39.13,2007-07-08,0727
39.16,2007-07-09,0728
39.19,2007-07-10,0728
39.22,2007-07-11,0728
39.25,2007-07-12,0728
39.28,2007-07-13,0728
39.31,2007-07-14,0728
39.34,2007-07-15,0728
39.37,2007-07-16,0729
39.4,2007-07-17,0729
39.43,2007-07-18,0729
39.46,2007-07-19,0729
39.47,2007-07-20,0729
39.48,2007-07-21,0729
39.5,2007-07-22,0729
39.51,2007-07-23,0730
39.52,2007-07-24,0730
39.54,2007-07-25,0730
39.55,2007-07-26,0730
39.56,2007-07-27,0730
39.58,2007-07-28,0730
39.59,2007-07-29,0730
39.6,2007-07-30,0731
39.62,2007-07-31,0731
39.63,2007-08-01,0731
39.64,2007-08-02,0731
39.66,2007-08-03,0731
39.67,2007-08-04,0731
39.69,2007-08-05,0731
39.7,2007-08-06,0732
39.71,2007-08-07,0732
39.73,2007-08-08,0732
39.74,2007-08-09,0732
39.75,2007-08-10,0732
39.77,2007-08-11,0732
39.78,2007-08-12,0732
39.79,2007-08-13,0733
39.81,2007-08-14,0733
39.82,2007-08-15,0733
39.83,2007-08-16,0733
39.84,2007-08-17,0733
39.85,2007-08-18,0733
39.86,2007-08-19,0733
39.87,2007-08-20,0734
39.88,2007-08-21,0734
39.89,2007-08-22,0734
39.89,2007-08-23,0734
39.9,2007-08-24,0734
39.91,2007-08-25,0734
39.92,2007-08-26,0734
39.93,2007-08-27,0735
39.94,2007-08-28,0735
39.95,2007-08-29,0735
39.95,2007-08-30,0735
39.96,2007-08-31,0735
39.97,2007-09-01,0735
39.98,2007-09-02,0735
39.99,2007-09-03,0736
40,2007-09-04,0736
40.01,2007-09-05,0736
40.01,2007-09-06,0736
40.02,2007-09-07,0736
40.03,2007-09-08,0736
40.04,2007-09-09,0736
40.05,2007-09-10,0737
40.06,2007-09-11,0737
40.06,2007-09-12,0737
40.07,2007-09-13,0737
40.08,2007-09-14,0737
40.09,2007-09-15,0737
40.11,2007-09-16,0737
40.12,2007-09-17,0738
40.13,2007-09-18,0738
40.14,2007-09-19,0738
40.15,2007-09-20,0738
40.16,2007-09-21,0738
40.17,2007-09-22,0738
40.18,2007-09-23,0738
40.19,2007-09-24,0739
40.2,2007-09-25,0739
40.21,2007-09-26,0739
40.22,2007-09-27,0739
40.23,2007-09-28,0739
40.24,2007-09-29,0739
40.26,2007-09-30,0739
40.27,2007-10-01,0740
40.28,2007-10-02,0740
40.29,2007-10-03,0740
40.3,2007-10-04,0740
40.29,2007-10-05,0740
40.28,2007-10-06,0740
40.26,2007-10-07,0740
40.25,2007-10-08,0741
40.24,2007-10-09,0741
40.23,2007-10-10,0741
40.22,2007-10-11,0741
40.21,2007-10-12,0741
40.2,2007-10-13,0741
40.19,2007-10-14,0741
40.18,2007-10-15,0742
40.16,2007-10-16,0742
40.15,2007-10-17,0742
40.14,2007-10-18,0742
40.14,2007-10-19,0742
40.13,2007-10-20,0742
40.12,2007-10-21,0742
40.11,2007-10-22,0743
40.11,2007-10-23,0743
40.1,2007-10-24,0743
40.09,2007-10-25,0743
40.09,2007-10-26,0743
40.08,2007-10-27,0743
40.07,2007-10-28,0743
40.07,2007-10-29,0744
40.06,2007-10-30,0744
40.05,2007-10-31,0744
40.05,2007-11-01,0744
40.04,2007-11-02,0744
40.03,2007-11-03,0744
40.03,2007-11-04,0744
40.02,2007-11-05,0745
40.01,2007-11-06,0745
40.01,2007-11-07,0745
40,2007-11-08,0745
39.99,2007-11-09,0745
39.99,2007-11-10,0745
39.98,2007-11-11,0745
39.97,2007-11-12,0746
39.96,2007-11-13,0746
39.96,2007-11-14,0746
39.95,2007-11-15,0746
39.94,2007-11-16,0746
39.94,2007-11-17,0746
39.93,2007-11-18,0746
39.92,2007-11-19,0747
39.92,2007-11-20,0747
39.91,2007-11-21,0747
39.9,2007-11-22,0747
39.89,2007-11-23,0747
39.88,2007-11-24,0747
39.87,2007-11-25,0747
39.86,2007-11-26,0748
39.85,2007-11-27,0748
39.84,2007-11-28,0748
39.83,2007-11-29,0748
39.82,2007-11-30,0748
39.81,2007-12-01,0748
39.8,2007-12-02,0748
39.79,2007-12-03,0749
39.78,2007-12-04,0749
39.77,2007-12-05,0749
39.77,2007-12-06,0749
39.76,2007-12-07,0749
39.75,2007-12-08,0749
39.74,2007-12-09,0749
39.73,2007-12-10,0750
39.72,2007-12-11,0750
39.71,2007-12-12,0750
39.7,2007-12-13,0750
39.65,2007-12-14,0750
39.6,2007-12-15,0750
39.55,2007-12-16,0750
39.5,2007-12-17,0751
39.44,2007-12-18,0751
39.39,2007-12-19,0751
39.34,2007-12-20,0751
39.29,2007-12-21,0751
39.24,2007-12-22,0751
39.19,2007-12-23,0751
39.14,2007-12-24,0752
39.09,2007-12-25,0752
39.04,2007-12-26,0752
38.99,2007-12-27,0752
38.94,2007-12-28,0752
38.89,2007-12-29,0752
38.84,2007-12-30,0752
38.79,2007-12-31,0701
38.74,2008-01-01,0801
38.69,2008-01-02,0801
38.64,2008-01-03,0801
38.58,2008-01-04,0801
38.59,2008-01-05,0801
38.59,2008-01-06,0801
38.6,2008-01-07,0802
38.6,2008-01-08,0802
38.61,2008-01-09,0802
38.6,2008-01-10,0802
38.49,2008-01-11,0802
38.45,2008-01-12,0802
38.41,2008-01-13,0802
38.38,2008-01-14,0803
38.34,2008-01-15,0803
38.3,2008-01-16,0803
38.26,2008-01-17,0803
38.23,2008-01-18,0803
38.2,2008-01-19,0803
38.17,2008-01-20,0803
38.15,2008-01-21,0804
38.12,2008-01-22,0804
38.09,2008-01-23,0804
38.04,2008-01-24,0804
37.99,2008-01-25,0804
37.89,2008-01-26,0804
37.79,2008-01-27,0804
37.69,2008-01-28,0805
37.59,2008-01-29,0805
37.5,2008-01-30,0805
37.4,2008-01-31,0805
37.3,2008-02-01,0805
37.31,2008-02-02,0805
37.33,2008-02-03,0805
37.35,2008-02-04,0806
37.36,2008-02-05,0806
37.38,2008-02-06,0806
37.38,2008-02-07,0806
37.26,2008-02-08,0806
37.21,2008-02-09,0806
37.16,2008-02-10,0806
37.11,2008-02-11,0807
37.05,2008-02-12,0807
37,2008-02-13,0807
36.95,2008-02-14,0807
36.9,2008-02-15,0807
36.94,2008-02-16,0807
36.99,2008-02-17,0807
37.03,2008-02-18,0808
37.08,2008-02-19,0808
37.12,2008-02-20,0808
37.17,2008-02-21,0808
37.21,2008-02-22,0808
37.32,2008-02-23,0808
37.43,2008-02-24,0808
37.54,2008-02-25,0809
37.64,2008-02-26,0809
37.75,2008-02-27,0809
37.86,2008-02-28,0809
37.9,2008-02-29,0809
37.93,2008-03-01,0809
37.96,2008-03-02,0809
37.99,2008-03-03,0810
38.03,2008-03-04,0810
38.06,2008-03-05,0810
38.06,2008-03-06,0810
38.06,2008-03-07,0810
38.06,2008-03-08,0810
38.07,2008-03-09,0810
38.07,2008-03-10,0811
38.07,2008-03-11,0811
38.08,2008-03-12,0811
38.08,2008-03-13,0811
38.03,2008-03-14,0811
38.02,2008-03-15,0811
38.02,2008-03-16,0811
38.01,2008-03-17,0812
38.01,2008-03-18,0812
38.01,2008-03-19,0812
38,2008-03-20,0812
38,2008-03-21,0812
38,2008-03-22,0812
38,2008-03-23,0812
37.99,2008-03-24,0813
37.99,2008-03-25,0813
37.99,2008-03-26,0813
37.98,2008-03-27,0813
37.98,2008-03-28,0813
37.98,2008-03-29,0813
37.97,2008-03-30,0813
37.97,2008-03-31,0814
37.96,2008-04-01,0814
37.96,2008-04-02,0814
37.99,2008-04-03,0814
37.99,2008-04-04,0814
37.99,2008-04-05,0814
37.99,2008-04-06,0814
37.99,2008-04-07,0815
37.98,2008-04-08,0815
37.98,2008-04-09,0815
37.98,2008-04-10,0815
37.98,2008-04-11,0815
37.98,2008-04-12,0815
37.98,2008-04-13,0815
37.97,2008-04-14,0816
37.97,2008-04-15,0816
37.97,2008-04-16,0816
37.97,2008-04-17,0816
37.9,2008-04-18,0816
37.84,2008-04-19,0816
37.77,2008-04-20,0816
37.7,2008-04-21,0817
37.64,2008-04-22,0817
37.57,2008-04-23,0817
37.55,2008-04-24,0817
37.52,2008-04-25,0817
37.48,2008-04-26,0817
37.43,2008-04-27,0817
37.38,2008-04-28,0818
37.33,2008-04-29,0818
37.29,2008-04-30,0818
37.25,2008-05-01,0818
37.21,2008-05-02,0818
37.18,2008-05-03,0818
37.16,2008-05-04,0818
37.13,2008-05-05,0819
37.1,2008-05-06,0819
37.07,2008-05-07,0819
37.04,2008-05-08,0819
36.93,2008-05-09,0819
36.86,2008-05-10,0819
36.79,2008-05-11,0819
36.72,2008-05-12,0820
36.66,2008-05-13,0820
36.59,2008-05-14,0820
36.54,2008-05-15,0820
36.48,2008-05-16,0820
36.45,2008-05-17,0820
36.42,2008-05-18,0820
36.39,2008-05-19,0821
36.36,2008-05-20,0821
36.33,2008-05-21,0821
36.3,2008-05-22,0821
36.26,2008-05-23,0821
36.29,2008-05-24,0821
36.31,2008-05-25,0821
36.33,2008-05-26,0822
36.36,2008-05-27,0822
36.38,2008-05-28,0822
36.4,2008-05-29,0822
36.32,2008-05-30,0822
36.25,2008-05-31,0822
36.19,2008-06-01,0822
36.12,2008-06-02,0823
36.05,2008-06-03,0823
35.99,2008-06-04,0823
35.99,2008-06-05,0823
35.99,2008-06-06,0823
36.05,2008-06-07,0823
36.1,2008-06-08,0823
36.16,2008-06-09,0824
36.21,2008-06-10,0824
36.27,2008-06-11,0824
36.25,2008-06-12,0824
36.23,2008-06-13,0824
36.21,2008-06-14,0824
36.2,2008-06-15,0824
36.19,2008-06-16,0825
36.18,2008-06-17,0825
