"","x"
"402",4.5
"403",2.5
"404",2.5
"405",0.2
"406",3.5
"407",2.5
"408",4.5
"409",3.5
"410",4.5
"411",2.5
"412",2.5
"413",3.7
"414",4.2
"415",3.5
"416",4.5
"417",3.5
"418",4.5
"419",4.5
"420",3.5
"421",3.7
"422",3.5
"423",2.5
"424",0
"425",2.5
"426",3.5
"427",2.5
"428",3.5
"429",3.5
"430",4.2
"431",3.7
"432",3.2
"433",3.5
"434",3.5
"435",3.5
"436",2.5
"437",4.5
"438",3.5
"439",3.7
"440",4.5
"441",2.5
"442",3.7
"443",4.5
"444",3.7
"445",2.5
"446",4.5
"447",2.2
"448",0.2
"449",2.5
"450",0
"451",2.5
"452",0
"453",0
"454",3.5
"455",3.5
"456",4.5
"457",0.2
"458",2.5
"459",2.5
"460",2.5
"461",4.5
"462",3.5
"463",3.5
"464",4.7
"465",2.5
"466",2.2
"467",2.5
"468",3.5
"469",3.5
