"","x"
"277",4.2
"278",4.5
"279",4.5
"280",4.5
"281",4.5
"282",4.5
"283",3.5
"284",3.5
"285",4.5
"286",4.5
"287",3.5
"288",4.5
"289",4.5
"290",4.5
"291",4.7
"292",4.5
"293",4.5
"294",4.5
"295",4.5
"296",4.5
"297",3.5
"298",3.7
"299",4.5
"300",4.5
"301",4.5
"302",4.5
"303",3.5
"304",3.7
"305",3.5
"306",4.5
"307",4.5
"308",3.5
"309",4.5
"310",3.5
"311",3.5
"312",3.5
"313",4.5
"314",2.5
"315",4.5
"316",3.5
"317",4.5
"318",4.5
"319",4.5
"320",3.5
"321",3.5
"322",4.5
"323",2.5
"324",3.5
"325",3.5
"326",3.5
"327",3.5
"328",3.5
"329",4.5
"330",4.5
"331",3.5
"332",4.2
"333",4.5
"334",4.5
"335",4.5
"336",4.5
"337",2.5
"338",3.5
"339",3.5
"340",4.5
"341",3.5
"342",3.5
"343",4.5
"344",3.5
"345",4.5
"346",2.5
"347",3.5
"348",3.2
"349",3.5
"350",3.5
"351",4.5
"352",4.5
"353",4.5
"354",2.5
"355",4.5
"356",4.5
"357",3.5
"358",3.5
"359",3.5
"360",4.5
"361",4.5
"362",3.5
"363",3.5
"364",3.5
"365",4.5
"366",3.5
"367",4.5
"368",4.5
"369",4.5
"370",4.5
"371",4.5
"372",3.5
"373",4.5
"374",3.5
"375",3.5
"376",4.5
"377",4.5
"378",4.5
"379",4.5
"380",3.5
"381",4.5
"382",3.5
"383",4.5
"384",3.5
"385",4.5
"386",4.5
"387",3.5
"388",4.5
"389",4.5
"390",3.5
"391",3.5
"392",4.5
"393",4.2
"394",4.5
"395",3.5
"396",4.5
"397",4.5
"398",3.5
"399",4.5
"400",3.5
"401",4.5
"402",4.5
"403",4.5
"404",3.5
"405",3.7
"406",3.5
"407",4.5
"408",4.5
"409",4.5
"410",4.5
"411",3.5
"412",4.5
"413",4.5
"414",4.5
"415",4.5
"416",4.5
"417",4.5
"418",4.5
"419",4.5
"420",4.5
"421",4.5
"422",3.5
"423",3.5
"424",3.5
"425",3.5
"426",3.5
"427",3.5
"428",3.5
"429",4.5
"430",5
"431",4.5
"432",4.2
"433",4.5
"434",4.5
"435",3.5
"436",3.5
"437",4.5
"438",3.5
"439",4.5
"440",4.5
"441",4.5
"442",4.5
"443",4.5
"444",4.5
"445",3.5
"446",4.5
"447",3.5
"448",4.5
"449",3.5
"450",4.5
"451",4.5
"452",4.5
"453",4.5
"454",4.5
"455",3.5
"456",4.5
"457",3.5
"458",4.5
"459",4.5
"460",3.5
"461",4.5
"462",3.5
"463",3.5
"464",4.5
"465",4.5
"466",4.5
"467",4.5
"468",4.5
"469",3.5
